DepNum,DepName,Position,Lastname,Name,Surname,Phone_1,Phone_2,Phone_3,Phone_4
9510,Отдел ИТ,Алоха,Захарченко,Дмитрий,Леонидович,42-78,42-78,(495)958-8217,
9080,Отдел торгов,Серетарь,Ковалёв,Николай,Всеволодович,85-34,85-34,(495)464-7129,(495)464-7129
7834,Отдел херовых отношений,Расходник,Типалов,Альфред,Станиславович,42-23,42-23,(495)513-7141,(495)513-7141
2342,Отдел электриков,Раб,Стародубов,Фаддей,Вячеславович,55-35,55-35,(495)548-3320,(495)548-3320
3456,Отдел королей,Босс,Соколов,Василий,Емельянович,83-75,83-75,,
5345,Отдел царей,Алоха,Руских,Айрат,Антонович,42-79,42-79,,
4324,Отдел против взяток,Серетарь,Репин,Аристарх,Георгиевич,85-35,85-35,,
8825,Отдел лолшто,Расходник,Генкин,Илиан,Вячеславович,42-24,42-24,,
5437,Отдел полезный,Раб,Рудов,Макар,Валентинович,55-36,55-36,,
4527,Отдел бесполезный,Босс,Жолдин,Николай,Богуславович,83-76,83-76,,
8547,Отдел ололо,Алоха,Шувалов,Ясон,Вадимович,42-80,42-80,(495)962-2840,
4532,Отдел финансовой независимости,Серетарь,Моряков,Ираклий,Никитич,85-36,85-36,(495)524-8470,(495)524-8470
2347,Отдел бесплатный,Расходник,Малюгин,Ахмет,Феликсович,42-25,42-25,(495)137-5654,(495)137-5654
2346,Отдел доширака,Раб,Астахов,Добрыня,Миронович,55-37,55-37,(495)518-8355,(495)518-8355
7892,Отдел ролтона,Босс,Блинов,Артемий,Кузьмич,83-77,83-77,,(495)185-0265
4099,Отдел ИТ,Алоха,Агейкин,Демид,Павлович,42-79,42-79,,
5600,Отдел торгов,Серетарь,Ибрагимов,Еремей,Львович,85-35,85-35,,
4913,Отдел херовых отношений,Расходник,Некрасов,Никита,Иосифович,42-24,42-24,,
4629,Отдел электриков,Раб,Хребтов,Варлаам,Дмитриевич,55-36,55-36,,
5646,Отдел королей,Босс,Кольцов,Клемент,Оскарович,83-76,83-76,,
3960,Отдел царей,Алоха,Гончаров,Александр,Васильевич,42-80,42-80,,
2115,Отдел против взяток,Серетарь,Кашканов,Нестор,Данилович,85-36,85-36,(495)187-7854,
